Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
okhttp,okhttp3.internal.connection,ConnectionPoolTest::connectionsEvictedWhenIdleLongEnough,20,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::inUseConnectionsNotEvicted,23,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::cleanupPrioritizesEarliestEviction,20,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::oldestConnectionsEvictedIfIdleLimitExceeded,16,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::leakedAllocation,11,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::interruptStopsThread,17,4,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::allocateAndLeakAllocation,10,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::newConnection,8,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::newAddress,5,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::newRoute,4,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.connection,ConnectionPoolTest::newRequest,5,1,81,10,0.5937855587402415,0.0007075167196013117,0.11733157745242337,0.034217298869866845,0.19890621554776558
okhttp,okhttp3.internal.http,ThreadInterruptTest::setUp,22,1,22,5,0.5937855587402415,0.003239772424062454,0.14838811853917594,0.057916526798702024,0.2501453343227185
okhttp,okhttp3.internal.http,ThreadInterruptTest::tearDown,3,1,22,5,0.5937855587402415,0.003239772424062454,0.14838811853917594,0.057916526798702024,0.2501453343227185
okhttp,okhttp3.internal.http,ThreadInterruptTest::interruptWritingRequestBody,26,3,22,5,0.5937855587402415,0.003239772424062454,0.14838811853917594,0.057916526798702024,0.2501453343227185
okhttp,okhttp3.internal.http,ThreadInterruptTest::interruptReadingResponseBody,21,3,22,5,0.5937855587402415,0.003239772424062454,0.14838811853917594,0.057916526798702024,0.2501453343227185
okhttp,okhttp3.internal.http,ThreadInterruptTest::sleep,7,2,22,5,0.5937855587402415,0.003239772424062454,0.14838811853917594,0.057916526798702024,0.2501453343227185
okhttp,okhttp3.internal.http,ThreadInterruptTest::interruptLater,8,1,22,5,0.5937855587402415,0.003239772424062454,0.14838811853917594,0.057916526798702024,0.2501453343227185
okhttp,okhttp3,OkHttpClientTest::tearDown,5,1,46,16,0.5937855587402415,2.0657422470111292e-05,0.0752457372548007,0.0028972035014331087,0.1644754168432016
okhttp,okhttp3,OkHttpClientTest::durationDefaults,8,1,46,16,0.5937855587402415,2.0657422470111292e-05,0.0752457372548007,0.0028972035014331087,0.1644754168432016
okhttp,okhttp3,OkHttpClientTest::webSocketDefaults,4,1,46,16,0.5937855587402415,2.0657422470111292e-05,0.0752457372548007,0.0028972035014331087,0.1644754168432016
