Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
reprova,ufmg.engsoft.reprova.tests.model,QuestionTest::nullTheme,11,1,1,1,0.5113799140537959,0.5113799140537959,0.5113799140537959,0.5113799140537959,None
reprova,ufmg.engsoft.reprova.tests.model,QuestionTest::emptyTheme,11,1,1,1,0.5113799140537959,0.5113799140537959,0.5113799140537959,0.5113799140537959,None
reprova,ufmg.engsoft.reprova.tests.model,QuestionTest::nullDescription,11,1,1,1,0.5113799140537959,0.5113799140537959,0.5113799140537959,0.5113799140537959,None
reprova,ufmg.engsoft.reprova.tests.model,QuestionTest::emptyDescription,11,1,1,1,0.5113799140537959,0.5113799140537959,0.5113799140537959,0.5113799140537959,None
reprova,ufmg.engsoft.reprova.tests.database,CoarseGrainedCourseDAOTest::setup,12,2,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,CoarseGrainedCourseDAOTest::assumeConnection,3,1,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,CoarseGrainedCourseDAOTest::test_insertion,5,1,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,CoarseGrainedCourseDAOTest::test_retrieval,10,1,2,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,FineGrainedCourseDAOTest::setup,12,2,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,FineGrainedCourseDAOTest::assumeConnection,3,1,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,FineGrainedCourseDAOTest::test_insertion,9,1,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.database,FineGrainedCourseDAOTest::test_retrieval,10,1,1,1,0.04965780678020054,0.04965780678020054,0.04965780678020054,0.04965780678020054,None
reprova,ufmg.engsoft.reprova.tests.model,CourseTest::testCreateWithStudents_FineGrained,9,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.model,CourseTest::testCreateWithScore_CoarseGrained,5,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.model,CourseTest::testCreateWithScore_FineGrained,7,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.model,CourseTest::testCreateWithStudents_CoarseGrained,11,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::entry,3,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::entriesToMap,3,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::entriesToConcurrentMap,3,1,1,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::testQuestionSerialization_CoarseGrained,21,1,2,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::testQuestionSerialization_FineGrained,23,1,3,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::testCourseSerialization_CoarseGrained,10,1,2,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::testCourseSerialization_FineGrained,12,1,3,1,0.2976285214069712,0.2976285214069712,0.2976285214069712,0.2976285214069712,None
reprova,ufmg.engsoft.reprova.tests.mime.json,JsonTest::testStudentSerialization,8,1,1,1,0.02610218048702849,0.02610218048702849,0.02610218048702849,0.02610218048702849,None
