Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
retrofit,retrofit2,RetrofitTest::objectMethodsStillWork,7,1,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::interfaceWithTypeParameterThrows,11,2,2,1,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,None
retrofit,retrofit2,RetrofitTest::interfaceWithExtend,7,1,2,1,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,None
retrofit,retrofit2,RetrofitTest::interfaceWithExtendWithTypeParameterThrows,13,2,2,1,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,None
retrofit,retrofit2,RetrofitTest::cloneSharesStatefulInstances,48,5,4,2,0.057916526798702024,0.00042934406479891316,0.02917293543175047,0.02917293543175047,0.0406495767424531
retrofit,retrofit2,RetrofitTest::builtInConvertersAbsentInCloneBuilder,4,1,2,2,0.057916526798702024,0.0007753825647860969,0.02934595468174406,0.02934595468174406,0.04040489057256054
retrofit,retrofit2,RetrofitTest::responseTypeCannotBeRetrofitResponse,13,2,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::responseTypeCannotBeOkHttpResponse,13,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::voidReturnTypeNotAllowed,12,2,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::validateEagerlyDisabledByDefault,4,1,2,2,0.057916526798702024,0.0004424131312348835,0.029179469964968455,0.029179469964968455,0.040640335516952446
retrofit,retrofit2,RetrofitTest::validateEagerlyDisabledByUser,5,1,2,2,0.057916526798702024,0.0004424131312348835,0.029179469964968455,0.029179469964968455,0.040640335516952446
retrofit,retrofit2,RetrofitTest::validateEagerlyFailsAtCreation,12,2,3,3,0.057916526798702024,0.0004424131312348835,0.038758488909546314,0.057916526798702024,0.0331826949973473
retrofit,retrofit2,RetrofitTest::callCallAdapterAddedByDefault,5,1,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callCallCustomAdapter,34,4,8,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::customCallAdapter,29,2,6,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::methodAnnotationsPassedToCallAdapter,21,3,7,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::customCallAdapterMissingThrows,21,2,5,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::methodAnnotationsPassedToResponseBodyConverter,20,2,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::methodAndParameterAnnotationsPassedToRequestBodyConverter,26,2,2,2,0.057916526798702024,0.000986850537000487,0.029451688667851257,0.029451688667851257,0.04025536013540398
retrofit,retrofit2,RetrofitTest::parameterAnnotationsPassedToStringConverter,20,2,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::stringConverterCalledForString,20,2,3,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::stringConverterReturningNullResultsInDefault,20,2,4,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::missingConverterThrowsOnNonRequestBody,21,2,13,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::missingConverterThrowsOnNonResponseBody,22,2,13,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::requestBodyOutgoingAllowed,7,1,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::voidOutgoingAllowed,7,1,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::voidResponsesArePooled,10,1,2,2,0.5937855587402415,0.057916526798702024,0.3258510427694718,0.3258510427694718,0.3789166263137332
retrofit,retrofit2,RetrofitTest::responseBodyIncomingAllowed,9,1,6,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::unresolvableResponseTypeThrows,55,6,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::unresolvableParameterTypeThrows,55,6,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::baseUrlRequired,8,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::baseUrlNullThrows,14,3,3,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::baseUrlInvalidThrows,7,2,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::baseUrlNoTrailingSlashThrows,15,3,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::baseUrlStringPropagated,5,1,4,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::baseHttpUrlPropagated,5,1,4,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::baseJavaUrlPropagated,5,1,2,2,0.057916526798702024,0.00013457052777279368,0.029025548663237408,0.029025548663237408,0.040858013109398614
retrofit,retrofit2,RetrofitTest::clientNullThrows,8,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callFactoryDefault,4,1,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callFactoryPropagated,9,1,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callFactoryClientPropagated,6,1,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callFactoryUsed,14,1,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callFactoryReturningNullThrows,14,2,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callFactoryThrowingPropagates,18,2,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::converterNullThrows,8,2,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::converterFactoryDefault,6,1,5,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::builtInConvertersFirstInClone,20,2,3,2,0.057916526798702024,0.0007753825647860969,0.02934595468174406,0.02934595468174406,0.04040489057256054
retrofit,retrofit2,RetrofitTest::requestConverterFactoryQueried,26,5,6,3,0.057916526798702024,0.000986850537000487,0.038939968044801515,0.057916526798702024,0.032868363914571624
retrofit,retrofit2,RetrofitTest::requestConverterFactoryNoMatchThrows,24,2,7,4,0.057916526798702024,0.0007763747945016827,0.029399069732226554,0.029451688667851257,0.03292923513724634
retrofit,retrofit2,RetrofitTest::requestConverterFactorySkippedNoMatchThrows,29,2,4,4,0.057916526798702024,0.0007763747945016827,0.029399069732226554,0.029451688667851257,0.03292923513724634
retrofit,retrofit2,RetrofitTest::responseConverterFactoryQueried,24,5,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::responseConverterFactoryNoMatchThrows,24,2,6,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::responseConverterFactorySkippedNoMatchThrows,29,2,3,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::stringConverterFactoryQueried,24,5,5,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::converterFactoryPropagated,6,1,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryNullThrows,8,2,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryDefault,4,1,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryPropagated,17,3,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryQueried,29,8,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryQueriedCanDelegate,40,9,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryQueriedCanDelegateTwiceWithoutRecursion,54,11,4,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callAdapterFactoryNoMatchThrows,24,2,4,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::callAdapterFactoryDelegateNoMatchThrows,33,2,5,3,0.057916526798702024,0.0007763747945016827,0.03886980946396858,0.057916526798702024,0.032989882141161206
retrofit,retrofit2,RetrofitTest::platformAwareAdapterAbsentInCloneBuilder,4,1,2,2,0.057916526798702024,0.0007753825647860969,0.02934595468174406,0.02934595468174406,0.04040489057256054
retrofit,retrofit2,RetrofitTest::callbackExecutorNullThrows,8,2,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callbackExecutorPropagatesDefaultJvm,4,1,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callbackExecutorPropagatesDefaultAndroid,12,1,3,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callbackExecutorPropagated,9,1,5,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,RetrofitTest::callbackExecutorUsedForSuccess,30,1,11,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::callbackExecutorUsedForFailure,30,1,11,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,RetrofitTest::skippedCallbackExecutorNotUsedForSuccess,21,1,3,1,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,None
retrofit,retrofit2,RetrofitTest::skippedCallbackExecutorNotUsedForFailure,21,1,3,1,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,None
retrofit,retrofit2,RetrofitTest::argumentCapture,25,1,2,2,0.5937855587402415,0.057916526798702024,0.3258510427694718,0.3258510427694718,0.3789166263137332
retrofit,retrofit2,ResponseTest::success,11,1,3,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,ResponseTest::successNullAllowed,5,1,3,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,ResponseTest::successWithHeaders,12,1,3,3,0.5937855587402415,0.0002563248148053213,0.2173194701179163,0.057916526798702024,0.32730140793334556
retrofit,retrofit2,ResponseTest::successWithNullHeadersThrows,8,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,ResponseTest::successWithStatusCode,10,1,2,2,0.057916526798702024,0.00017301924999359189,0.029044773024347808,0.029044773024347808,0.04083082575718833
retrofit,retrofit2,ResponseTest::successWithRawResponse,11,1,3,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,ResponseTest::successWithNullRawResponseThrows,8,2,3,3,0.057916526798702024,0.0002563248148053213,0.03869645947073646,0.057916526798702024,0.03329013313693095
retrofit,retrofit2,ResponseTest::successWithErrorRawResponseThrows,8,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,ResponseTest::error,19,2,6,4,0.5937855587402415,0.001967292953630841,0.1778964763228191,0.057916526798702024,0.2785110309069609
retrofit,retrofit2,ResponseTest::nullErrorThrows,8,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,ResponseTest::errorWithSuccessCodeThrows,9,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,ResponseTest::errorWithRawResponse,11,1,3,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,ResponseTest::nullErrorWithRawResponseThrows,8,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,ResponseTest::errorWithNullRawResponseThrows,9,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,ResponseTest::errorWithSuccessRawResponseThrows,9,2,2,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,CallTest::http200Sync,12,1,11,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,CallTest::http200Async,29,1,16,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,CallTest::http404Sync,13,1,12,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,CallTest::http404Async,30,1,17,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,CallTest::transportProblemSync,15,2,10,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,CallTest::transportProblemAsync,28,1,15,3,0.5937855587402415,0.057916526798702024,0.23653953744588185,0.057916526798702024,0.309384129841832
retrofit,retrofit2,CallTest::conversionProblemOutgoingSync,27,2,16,3,0.057916526798702024,0.000986850537000487,0.038939968044801515,0.057916526798702024,0.032868363914571624
retrofit,retrofit2,CallTest::conversionProblemOutgoingAsync,40,1,21,4,0.5937855587402415,0.000986850537000487,0.17765136571866152,0.057916526798702024,0.2787178267402776
retrofit,retrofit2,CallTest::conversionProblemIncomingSync,25,2,15,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
retrofit,retrofit2,CallTest::conversionProblemIncomingMaskedByConverterIsUnwrapped,48,3,14,2,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.057916526798702024,0.0
